run_id,scenario,db,concurrency,started_at,ended_at,duration_s,counts,dup_like_rejects,engine,errors,latency_ms,ryw_success_rate,throughput_ops_per_s
2025-11-05T16:07:58.685821Z_mongodb,social_media_concurrent_writes,mongodb,64,2025-11-05T16:07:38.487926Z,2025-11-05T16:07:58.685821Z,20.01,"{'posts': 6254, 'likes': 15543, 'comments': 9469, 'reads': 7812}",1,mongodb,0,"{'create_post': {'p50': 11.3, 'p95': 23.6}, 'like': {'p50': 10.7, 'p95': 22.25}, 'comment': {'p50': 10.64, 'p95': 21.87}, 'read': {'p50': 22.01, 'p95': 38.11}}",1.0,1952.7
2025-11-05T16:08:39.078534Z_mongodb,social_media_concurrent_writes,mongodb,64,2025-11-05T16:08:18.879533Z,2025-11-05T16:08:39.078534Z,20.01,"{'posts': 6494, 'likes': 15802, 'comments': 9707, 'reads': 8044}",1,mongodb,0,"{'create_post': {'p50': 11.14, 'p95': 23.01}, 'like': {'p50': 10.41, 'p95': 21.22}, 'comment': {'p50': 10.4, 'p95': 21.43}, 'read': {'p50': 21.62, 'p95': 36.75}}",1.0,2001.0
2025-11-05T16:08:18.878991Z_mongodb,social_media_concurrent_writes,mongodb,64,2025-11-05T16:07:58.686331Z,2025-11-05T16:08:18.878991Z,20.01,"{'posts': 6323, 'likes': 15936, 'comments': 9787, 'reads': 7937}",0,mongodb,0,"{'create_post': {'p50': 11.25, 'p95': 23.4}, 'like': {'p50': 10.45, 'p95': 21.54}, 'comment': {'p50': 10.49, 'p95': 21.45}, 'read': {'p50': 21.68, 'p95': 36.83}}",1.0,1997.8
2025-11-05T16:06:57.821058Z_postgres,social_media_concurrent_writes,postgres,64,2025-11-05T16:06:37.458402Z,2025-11-05T16:06:57.821058Z,20.02,"{'posts': 15682, 'likes': 38957, 'comments': 23322, 'reads': 19705}",5,postgres,0,"{'create_post': {'p50': 6.92, 'p95': 10.39}, 'like': {'p50': 6.94, 'p95': 10.37}, 'comment': {'p50': 6.97, 'p95': 10.34}, 'read': {'p50': 4.97, 'p95': 7.87}}",1.0,4878.7
2025-11-05T16:07:18.149349Z_postgres,social_media_concurrent_writes,postgres,64,2025-11-05T16:06:57.821631Z,2025-11-05T16:07:18.149349Z,20.02,"{'posts': 15055, 'likes': 37635, 'comments': 22519, 'reads': 18694}",4,postgres,0,"{'create_post': {'p50': 7.11, 'p95': 11.23}, 'like': {'p50': 7.16, 'p95': 11.24}, 'comment': {'p50': 7.18, 'p95': 11.29}, 'read': {'p50': 5.06, 'p95': 8.36}}",1.0,4690.9
2025-11-05T16:07:38.487249Z_postgres,social_media_concurrent_writes,postgres,64,2025-11-05T16:07:18.149878Z,2025-11-05T16:07:38.487249Z,20.02,"{'posts': 15396, 'likes': 39653, 'comments': 23523, 'reads': 19835}",4,postgres,0,"{'create_post': {'p50': 6.85, 'p95': 10.27}, 'like': {'p50': 6.9, 'p95': 10.26}, 'comment': {'p50': 6.93, 'p95': 10.26}, 'read': {'p50': 4.91, 'p95': 7.76}}",1.0,4915.7
2025-11-05T16:12:43.166481Z_cassandra,social_media_concurrent_writes,cassandra,64,2025-11-05T16:11:22.274059Z,2025-11-05T16:12:43.166481Z,20.03,"{'posts': 6412, 'likes': 16528, 'comments': 9825, 'reads': 8218}",0,cassandra,0,"{'create_post': {'p50': 9.85, 'p95': 16.33}, 'like': {'p50': 9.82, 'p95': 16.11}, 'comment': {'p50': 9.86, 'p95': 16.41}, 'read': {'p50': 19.71, 'p95': 83.45}}",1.0,2046.5
2025-11-05T16:11:22.273554Z_cassandra,social_media_concurrent_writes,cassandra,64,2025-11-05T16:09:58.084506Z,2025-11-05T16:11:22.273554Z,20.1,"{'posts': 6489, 'likes': 16615, 'comments': 9928, 'reads': 8277}",0,cassandra,0,"{'create_post': {'p50': 9.94, 'p95': 16.29}, 'like': {'p50': 9.94, 'p95': 15.82}, 'comment': {'p50': 9.94, 'p95': 16.24}, 'read': {'p50': 19.99, 'p95': 81.6}}",1.0,2055.7
2025-11-05T16:09:58.083953Z_cassandra,social_media_concurrent_writes,cassandra,64,2025-11-05T16:08:39.079018Z,2025-11-05T16:09:58.083953Z,20.03,"{'posts': 6876, 'likes': 16826, 'comments': 9986, 'reads': 8444}",0,cassandra,0,"{'create_post': {'p50': 9.82, 'p95': 16.11}, 'like': {'p50': 9.83, 'p95': 15.33}, 'comment': {'p50': 9.82, 'p95': 16.32}, 'read': {'p50': 19.69, 'p95': 79.12}}",1.0,2103.7
2025-11-05T16:08:18.878991Z_mongodb,social_media_concurrent_writes,mongodb,64,2025-11-05T16:07:58.686331Z,2025-11-05T16:08:18.878991Z,20.01,"{'posts': 6323, 'likes': 15936, 'comments': 9787, 'reads': 7937}",0,mongodb,0,"{'create_post': {'p50': 11.25, 'p95': 23.4}, 'like': {'p50': 10.45, 'p95': 21.54}, 'comment': {'p50': 10.49, 'p95': 21.45}, 'read': {'p50': 21.68, 'p95': 36.83}}",1.0,1997.8
2025-11-05T16:07:58.685821Z_mongodb,social_media_concurrent_writes,mongodb,64,2025-11-05T16:07:38.487926Z,2025-11-05T16:07:58.685821Z,20.01,"{'posts': 6254, 'likes': 15543, 'comments': 9469, 'reads': 7812}",1,mongodb,0,"{'create_post': {'p50': 11.3, 'p95': 23.6}, 'like': {'p50': 10.7, 'p95': 22.25}, 'comment': {'p50': 10.64, 'p95': 21.87}, 'read': {'p50': 22.01, 'p95': 38.11}}",1.0,1952.7
2025-11-05T16:08:39.078534Z_mongodb,social_media_concurrent_writes,mongodb,64,2025-11-05T16:08:18.879533Z,2025-11-05T16:08:39.078534Z,20.01,"{'posts': 6494, 'likes': 15802, 'comments': 9707, 'reads': 8044}",1,mongodb,0,"{'create_post': {'p50': 11.14, 'p95': 23.01}, 'like': {'p50': 10.41, 'p95': 21.22}, 'comment': {'p50': 10.4, 'p95': 21.43}, 'read': {'p50': 21.62, 'p95': 36.75}}",1.0,2001.0
2025-11-05T16:07:38.487249Z_postgres,social_media_concurrent_writes,postgres,64,2025-11-05T16:07:18.149878Z,2025-11-05T16:07:38.487249Z,20.02,"{'posts': 15396, 'likes': 39653, 'comments': 23523, 'reads': 19835}",4,postgres,0,"{'create_post': {'p50': 6.85, 'p95': 10.27}, 'like': {'p50': 6.9, 'p95': 10.26}, 'comment': {'p50': 6.93, 'p95': 10.26}, 'read': {'p50': 4.91, 'p95': 7.76}}",1.0,4915.7
2025-11-05T16:07:18.149349Z_postgres,social_media_concurrent_writes,postgres,64,2025-11-05T16:06:57.821631Z,2025-11-05T16:07:18.149349Z,20.02,"{'posts': 15055, 'likes': 37635, 'comments': 22519, 'reads': 18694}",4,postgres,0,"{'create_post': {'p50': 7.11, 'p95': 11.23}, 'like': {'p50': 7.16, 'p95': 11.24}, 'comment': {'p50': 7.18, 'p95': 11.29}, 'read': {'p50': 5.06, 'p95': 8.36}}",1.0,4690.9
2025-11-05T16:06:57.821058Z_postgres,social_media_concurrent_writes,postgres,64,2025-11-05T16:06:37.458402Z,2025-11-05T16:06:57.821058Z,20.02,"{'posts': 15682, 'likes': 38957, 'comments': 23322, 'reads': 19705}",5,postgres,0,"{'create_post': {'p50': 6.92, 'p95': 10.39}, 'like': {'p50': 6.94, 'p95': 10.37}, 'comment': {'p50': 6.97, 'p95': 10.34}, 'read': {'p50': 4.97, 'p95': 7.87}}",1.0,4878.7
2025-11-05T16:11:22.273554Z_cassandra,social_media_concurrent_writes,cassandra,64,2025-11-05T16:09:58.084506Z,2025-11-05T16:11:22.273554Z,20.1,"{'posts': 6489, 'likes': 16615, 'comments': 9928, 'reads': 8277}",0,cassandra,0,"{'create_post': {'p50': 9.94, 'p95': 16.29}, 'like': {'p50': 9.94, 'p95': 15.82}, 'comment': {'p50': 9.94, 'p95': 16.24}, 'read': {'p50': 19.99, 'p95': 81.6}}",1.0,2055.7
2025-11-05T16:09:58.083953Z_cassandra,social_media_concurrent_writes,cassandra,64,2025-11-05T16:08:39.079018Z,2025-11-05T16:09:58.083953Z,20.03,"{'posts': 6876, 'likes': 16826, 'comments': 9986, 'reads': 8444}",0,cassandra,0,"{'create_post': {'p50': 9.82, 'p95': 16.11}, 'like': {'p50': 9.83, 'p95': 15.33}, 'comment': {'p50': 9.82, 'p95': 16.32}, 'read': {'p50': 19.69, 'p95': 79.12}}",1.0,2103.7
2025-11-05T16:12:43.166481Z_cassandra,social_media_concurrent_writes,cassandra,64,2025-11-05T16:11:22.274059Z,2025-11-05T16:12:43.166481Z,20.03,"{'posts': 6412, 'likes': 16528, 'comments': 9825, 'reads': 8218}",0,cassandra,0,"{'create_post': {'p50': 9.85, 'p95': 16.33}, 'like': {'p50': 9.82, 'p95': 16.11}, 'comment': {'p50': 9.86, 'p95': 16.41}, 'read': {'p50': 19.71, 'p95': 83.45}}",1.0,2046.5
